Product ID,Category,Sub-Category,Product Name,Unit Price,Unit Cost
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,"130,98","110,02319999999999"
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","243,98","170,78599999999997"
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,"7,31","3,8743"
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"348,2099999999999","268,12170000000003"
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,"13,98","9,925800000000002"
FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","6,9799999999999995","4,955800000000001"
OFF-AR-10002833,Office Supplies,Art,Newell 322,"1,82","1,3286"
TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,"188,99","136,0728"
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,"7,71","4,240500000000001"
OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,"22,98","16,086000000000002"
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"236,97","180,09720000000004"
TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,"284,82","210,7668"
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,"6,48","3,3696000000000006"
OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,"169,99","91,79460000000005"
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","68,81","38,5336"
OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,"4,24","2,1200000000000006"
OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","110,98","108,7604"
OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,"27,75","22,755000000000003"
OFF-AR-10003056,Office Supplies,Art,Newell 341,"4,28","3,0388000000000006"
TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,"88,95","65,82300000000002"
OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""","7,1","3,834"
OFF-AR-10000246,Office Supplies,Art,Newell 318,"2,78","2,0571999999999995"
OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length","8,62","6,378799999999999"
FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray","50,97999999999999","36,19579999999999"
OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,"7,28","3,7128000000000005"
TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,"30,19","26,2653"
